artists,genres,count,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
kensuke ushio,['anime'],52,18.98076923076923,0.5839038461538462,0.2617953846153846,3.769230769230769,-16.700769230769232,0.75,0.061288461538461535,0.7703062307692308,0.689125,0.11729615384615386,0.33915192307692305,118.10836538461538,3.9615384615384617,119192.71153846153
Sanam,"['bhajan', 'bollywood', 'desi', 'desi pop', 'ghazal', 'gujarati garba', 'gujarati pop', 'hindi pop', 'indian indie', 'malayalam pop', 'sufi']",50,48.94,0.6275999999999999,0.5071800000000001,5.86,-7.90624,0.62,0.035865999999999995,0.5309268,0.0100928254,0.16485399999999997,0.50734,112.19456,3.88,210991.62
Sai Abhyankkar,"['bollywood', 'desi', 'hindi pop', 'kannada pop', 'kollywood', 'malayalam hip hop', 'sandalwood', 'sufi', 'tamil dance', 'tamil hip hop', 'tamil indie', 'tamil pop', 'telugu pop', 'tollywood']",14,59.57142857142857,0.4401428571428571,0.4352142857142857,6.428571428571429,-10.583499999999999,0.5,0.05406428571428572,0.7015,0.3424169214285714,0.14578571428571427,0.3708214285714285,106.29471428571428,3.7857142857142856,156040.5
Shashwat Sachdev,"['arabic hip hop', 'bangla pop', 'bhajan', 'bhangra', 'bollywood', 'desi', 'desi pop', 'devotional', 'flamenco urbano', 'ghazal', 'haryanvi pop', 'hindi indie', 'hindi pop', 'indian indie', 'khaleeji', 'punjabi pop', 'qawwali', 'sufi']",12,59.916666666666664,0.685,0.6776666666666666,6.833333333333333,-7.7372499999999995,0.5833333333333334,0.100675,0.19173408333333333,0.02930207,0.15615833333333332,0.4618333333333333,126.34100000000001,3.9166666666666665,244324.0
Ritviz,"['desi hip hop', 'hardcore hip hop', 'hindi hip hop', 'hindi indie', 'hindi pop', 'indian indie']",10,46.5,0.6029,0.5849,4.5,-8.1779,0.5,0.1111,0.1240502,0.0668566,0.21625999999999998,0.45199,110.37899999999999,4.0,184785.1
R. D. Burman,"['bangla pop', 'bhajan', 'bollywood', 'desi pop', 'ghazal', 'hindi pop', 'marathi pop']",10,53.7,0.6039,0.44820000000000004,5.9,-8.8682,0.6,0.03395,0.609004,0.001360926,0.11494,0.48369999999999996,120.3471,3.8,227031.5
Sayfalse,"['brazilian phonk', 'funk', 'phonk']",10,59.2,0.6398,0.9061999999999999,2.9,-1.241,0.4,0.10661000000000001,0.216258,0.16925928099999998,0.22212,0.40259999999999996,123.1165,3.9,99568.4
Dj Samir,"['brazilian phonk', 'funk', 'hypertechno', 'phonk']",9,69.33333333333333,0.6114444444444445,0.890888888888889,4.111111111111111,-2.6092222222222223,0.1111111111111111,0.04628888888888889,0.10108888888888888,0.09641625555555555,0.19555555555555557,0.4434444444444445,111.20266666666667,4.0,93956.66666666667
Aditya Rikhari,"['desi pop', 'hindi indie', 'hindi pop', 'indian indie']",9,65.33333333333333,0.6367777777777778,0.37866666666666665,5.444444444444445,-10.722777777777777,0.3333333333333333,0.08102222222222223,0.6174444444444445,0.0003239244444444444,0.12696666666666667,0.4735555555555556,123.99544444444444,3.7777777777777777,179578.55555555556
Mitraz,"['desi', 'desi pop', 'hindi indie', 'hindi pop', 'indian indie']",8,60.125,0.6945,0.571625,5.125,-8.086500000000001,0.5,0.041475,0.2558375,0.08920659249999999,0.10276249999999999,0.4117875,114.0035,4.0,181876.625
MXZI,"['brazilian funk', 'brazilian phonk', 'funk', 'funk bruxaria', 'phonk']",8,70.625,0.67125,0.882,3.625,-3.40525,0.375,0.056937499999999995,0.11031250000000001,0.03850159875,0.1901125,0.608625,119.61275,4.0,86216.375
SEKIMANE,"['brazilian funk', 'brazilian phonk', 'brega funk', 'funk', 'funk bruxaria', 'funk carioca', 'phonk', 'rally house']",7,67.71428571428571,0.7511428571428571,0.8624285714285714,6.285714285714286,-1.7228571428571426,0.42857142857142855,0.11625714285714286,0.24331428571428573,0.03773113857142857,0.24412857142857142,0.6614285714285714,117.74114285714286,4.0,97783.28571428571
Prateek Kuhad,"['bollywood', 'desi', 'gujarati pop', 'hindi indie', 'hindi pop', 'indian indie']",7,55.57142857142857,0.6867142857142857,0.3291428571428571,4.714285714285714,-11.239,1.0,0.0402,0.6423571428571428,0.04702748285714286,0.13907142857142857,0.43985714285714284,110.107,3.2857142857142856,205710.42857142858
Rokudenashi,"['anime', 'j-pop']",6,56.333333333333336,0.6143333333333333,0.6088333333333333,4.666666666666667,-5.455333333333333,1.0,0.03295,0.39303666666666665,6.1705e-05,0.17300000000000001,0.6718333333333333,152.4725,4.0,187911.16666666666
DYSMANE,"['brazilian phonk', 'funk', 'phonk']",6,68.16666666666667,0.5991666666666666,0.9423333333333334,7.333333333333333,0.305,0.3333333333333333,0.05985000000000001,0.06568666666666667,0.08855,0.22978333333333334,0.34850000000000003,116.35066666666667,4.0,114815.0
Anumita Nadesan,"['bangla pop', 'bollywood', 'desi', 'desi pop', 'ghazal', 'gujarati garba', 'gujarati pop', 'hindi indie', 'hindi pop', 'indian indie']",6,40.5,0.5508333333333334,0.38633333333333336,4.333333333333333,-9.600666666666667,1.0,0.05745,0.7091666666666666,0.006144898333333333,0.14266666666666666,0.3443333333333333,124.48166666666668,3.8333333333333335,209312.0
Nakama,"['brazilian phonk', 'funk', 'phonk']",6,70.66666666666667,0.7111666666666667,0.8003333333333332,3.3333333333333335,-2.1705,0.3333333333333333,0.036616666666666665,0.22851333333333335,0.020547176666666667,0.16803333333333334,0.6243333333333333,134.23716666666667,4.0,88890.16666666667
Lata Mangeshkar,"['bangla pop', 'bhajan', 'bollywood', 'ghazal', 'hindi pop', 'marathi pop', 'qawwali']",6,55.833333333333336,0.3456666666666666,0.37116666666666664,3.1666666666666665,-11.445500000000001,0.5,0.041166666666666664,0.8744999999999999,0.008814316666666667,0.1627333333333333,0.5866666666666667,135.975,3.1666666666666665,262318.6666666667
Sachin Gupta,"['bollywood', 'desi pop', 'hindi pop']",6,44.666666666666664,0.6084999999999999,0.38116666666666665,7.0,-9.9975,0.5,0.030116666666666667,0.633,0.08196195,0.12271666666666668,0.4001666666666666,108.413,4.0,205190.83333333334
h6itam,"['brazilian phonk', 'funk', 'phonk']",6,76.33333333333333,0.7080000000000001,0.894,5.666666666666667,-2.4193333333333333,0.3333333333333333,0.06945,0.22366666666666668,0.163180365,0.1605,0.6531666666666667,126.73433333333332,4.0,114219.5
ICEDMANE,"['brazilian phonk', 'funk', 'phonk']",6,68.16666666666667,0.5991666666666666,0.9423333333333334,7.333333333333333,0.305,0.3333333333333333,0.05985000000000001,0.06568666666666667,0.08855,0.22978333333333334,0.34850000000000003,116.35066666666667,4.0,114815.0
Amit Trivedi,"['bhajan', 'bollywood', 'desi', 'ghazal', 'gujarati garba', 'gujarati pop', 'hindi indie', 'hindi pop', 'indian indie', 'sufi']",6,30.0,0.711,0.5858333333333333,7.0,-7.981000000000001,0.8333333333333334,0.10565000000000001,0.5003333333333334,0.00318485,0.20455,0.6773333333333333,126.94866666666667,3.5,228470.0
ATLXS,"['brazilian funk', 'brazilian phonk', 'funk', 'funk bruxaria', 'phonk']",6,71.5,0.6508333333333333,0.9215,4.5,-4.508500000000001,0.6666666666666666,0.08211666666666667,0.04529666666666667,0.05244693166666667,0.22966666666666669,0.5513333333333333,123.855,4.0,104263.5
Sujan Chapagain,[],6,50.166666666666664,0.38949999999999996,0.32766666666666666,5.666666666666667,-12.884,1.0,0.0424,0.7818333333333333,0.12478963166666666,0.11728333333333334,0.3788333333333333,122.43483333333332,3.5,251918.0
A.R. Rahman,"['bollywood', 'desi', 'desi pop', 'hindi pop', 'kollywood', 'marathi pop', 'qawwali', 'sufi', 'tamil pop', 'telugu pop', 'tollywood']",5,71.0,0.6396,0.7245999999999999,5.6,-7.4525999999999994,0.8,0.045579999999999996,0.3028,0.0769136,0.14234,0.5987199999999999,121.997,3.8,327665.0
Metito,['phonk'],5,52.8,0.7722,0.5742,4.8,-13.005199999999999,0.6,0.06770000000000001,0.16894,0.8028000000000001,0.0696,0.6918,104.3554,4.0,116470.8
Chilx,"['brazilian phonk', 'phonk']",5,70.0,0.6762,0.9284000000000001,4.2,-1.7616,0.6,0.10064,0.000607,0.08468,0.09790000000000001,0.4554,110.7844,4.0,104798.6
DJ Asul,"['brazilian phonk', 'funk', 'phonk']",5,71.0,0.6487999999999999,0.9109999999999999,6.8,-0.6822,0.4,0.07176,0.17432,0.013958606000000002,0.3024,0.617,123.99540000000002,4.0,90883.0
B.K. Harinarayanan,"['malayalam hip hop', 'malayalam pop', 'mollywood', 'tollywood']",5,59.4,0.32399999999999995,0.3478,3.8,-9.745000000000001,1.0,0.0303,0.8486,0.23704,0.10624,0.22039999999999998,146.61419999999998,3.6,184656.8
Mc Menor Do Alvorada,"['brazilian funk', 'brazilian phonk', 'brega funk', 'funk', 'funk bruxaria', 'funk carioca', 'phonk']",5,72.6,0.7716000000000001,0.8640000000000001,5.6,-1.8994,0.6,0.11188000000000001,0.3718,0.129156438,0.11162000000000001,0.8455999999999999,120.0396,4.0,103037.0
S. D. Burman,"['desi pop', 'ghazal', 'hindi pop', 'indian indie', 'malayalam pop']",5,50.8,0.6626,0.5314,6.2,-7.444800000000001,0.8,0.035199999999999995,0.51634,2.52e-07,0.1316,0.6926,120.56779999999999,3.8,215956.4
Rubikdice,"['brazilian phonk', 'phonk']",5,70.0,0.6762,0.9284000000000001,4.2,-1.7616,0.6,0.10064,0.000607,0.08468,0.09790000000000001,0.4554,110.7844,4.0,104798.6
DJ Zarek,"['brazilian phonk', 'funk', 'phonk']",5,66.8,0.6448,0.7944,5.6,-2.2332,0.0,0.03382,0.17854,0.35084038,0.1183,0.32654,129.07319999999999,4.0,134619.2
Repsaj,"['brazilian funk', 'brazilian phonk', 'funk', 'funk bruxaria', 'phonk']",5,69.0,0.7694,0.6594,5.6,-4.3854,0.6,0.07564,0.32902,0.15881029800000002,0.12482,0.44820000000000004,135.6654,4.0,95776.6
Pritam,"['bangla pop', 'bollywood', 'desi', 'ghazal', 'hindi indie', 'hindi pop', 'indian indie', 'sufi']",5,71.0,0.469,0.6226,6.2,-7.1450000000000005,0.8,0.0536,0.6758,0.000275976,0.1308,0.49422,89.0436,4.0,282177.6
DJ Javi26,"['brazilian phonk', 'funk', 'phonk']",5,71.6,0.6548,0.8474,5.0,-1.9945999999999997,0.2,0.10066000000000001,0.1449,0.0016798,0.23878,0.5856,110.65,4.0,87952.6
Mc Gw,"['brazilian funk', 'brazilian phonk', 'brega funk', 'funk', 'funk bruxaria', 'funk carioca', 'phonk', 'rally house']",5,68.8,0.7974,0.8946,7.4,-2.0864000000000003,0.2,0.11656,0.25884,0.00991658,0.265,0.7283999999999999,149.8764,4.0,104138.6
Parvatish Pradeep,"['malayalam hip hop', 'malayalam pop', 'mollywood', 'tollywood']",5,59.4,0.32399999999999995,0.3478,3.8,-9.745000000000001,1.0,0.0303,0.8486,0.23704,0.10624,0.22039999999999998,146.61419999999998,3.6,184656.8
Akanksha Bhandari,"['bhajan', 'desi hip hop', 'devotional', 'hindi hip hop', 'hindi indie', 'indian indie']",5,24.2,0.6304000000000001,0.49820000000000003,6.0,-9.2066,1.0,0.03966,0.609,0.00054642,0.16,0.3126,99.9024,2.8,253942.4
Ariis,"['brazilian funk', 'brazilian phonk', 'brega funk', 'funk', 'phonk']",5,72.2,0.7512,0.8772,5.0,-0.937,0.4,0.16199999999999998,0.143246,0.371376,0.34198000000000006,0.6058,109.1362,3.8,113693.8
Anuv Jain,"['hindi indie', 'hindi pop', 'indian indie']",5,75.2,0.557,0.311,2.8,-10.9566,0.8,0.03688,0.7140000000000001,0.0,0.14972,0.2586,126.39000000000001,4.2,220753.8
Kavita Seth,"['bollywood', 'desi', 'ghazal', 'gujarati garba', 'hindi indie', 'hindi pop', 'indian indie', 'sufi']",5,35.8,0.5559999999999999,0.5810000000000001,5.2,-8.1202,1.0,0.03242,0.32653999999999994,0.012706306,0.18596,0.38639999999999997,108.46459999999999,4.0,314143.8
Vilen,"['desi pop', 'hindi indie']",5,57.2,0.485,0.4554,5.4,-8.7854,0.8,0.039659999999999994,0.391,0.004343512,0.22218,0.40199999999999997,134.80720000000002,4.2,228676.8
ArtMandu,[],5,52.8,0.4182,0.3468,5.4,-12.6344,1.0,0.04492,0.7902,0.000147558,0.12632000000000002,0.42639999999999995,119.5212,3.6,266923.8
Zaeden,"['bollywood', 'desi hip hop', 'desi pop', 'hindi indie', 'indian indie']",5,50.6,0.7807999999999999,0.466,6.0,-8.3358,1.0,0.05282,0.47040000000000004,0.03576694,0.15348,0.7066,117.6298,4.0,155059.8
Jmilton,"['brazilian phonk', 'funk', 'funk de bh', 'phonk']",4,71.75,0.6547499999999999,0.95675,6.75,-2.77,0.5,0.0944,0.097825,0.014985375,0.20625,0.6125,123.89375000000001,4.0,90734.0
Nulteex,"['brazilian phonk', 'funk', 'phonk']",4,70.75,0.6930000000000001,0.89975,5.25,-3.52325,0.25,0.035375000000000004,0.0428625,0.2054532,0.1925,0.348,115.26599999999999,4.0,110952.5
Nxxkz,"['brazilian funk', 'brazilian phonk', 'brega funk', 'funk', 'funk bruxaria', 'funk carioca', 'phonk']",4,68.75,0.598,0.91425,5.0,-1.66275,0.25,0.07150000000000001,0.04557,4.725e-06,0.28925,0.49825,149.04575,4.0,116508.25
Mohammed Rafi,"['bangla pop', 'bollywood', 'desi pop', 'ghazal', 'hindi pop', 'marathi pop']",4,53.75,0.7095,0.5002500000000001,5.5,-7.6575,0.75,0.045524999999999996,0.62675,0.04675128,0.153775,0.73475,104.87875,3.75,209513.0
Nyasa,"['bhajan', 'devotional', 'folk', 'hindi indie', 'indian indie', 'marathi pop']",4,10.75,0.598,0.685,5.5,-5.72725,1.0,0.082175,0.40125,1.3104999999999999e-05,0.134,0.626,128.2955,3.75,218622.0
ZXKAI,"['brazilian phonk', 'funk', 'phonk']",4,78.0,0.74575,0.944,2.75,0.31675,0.5,0.04905,0.1205,0.022887275,0.19125,0.75075,120.97125,4.0,113337.5
RXDXVIL,"['brazilian phonk', 'funk', 'phonk']",4,61.5,0.66525,0.791,2.25,-6.4285,0.25,0.052825,0.069175,0.20558525,0.1385,0.45,112.78675,4.0,111775.75
QMIIR,"['brazilian phonk', 'funk', 'kizomba', 'phonk']",4,71.5,0.70625,0.7705,6.0,-3.49825,0.0,0.041249999999999995,0.20475,0.4035004075,0.199,0.216175,140.27025,4.0,145584.75
DJ FallThox,"['brazilian phonk', 'funk', 'phonk']",4,64.0,0.69875,0.80325,6.5,-1.419,1.0,0.0645,0.20325000000000001,0.0024702500000000002,0.1789,0.36225,123.70375,4.0,96940.5
Jasmine Sandlas,"['bhangra', 'bollywood', 'desi', 'desi pop', 'ghazal', 'haryanvi pop', 'hindi pop', 'punjabi pop', 'qawwali', 'sufi']",4,65.75,0.78425,0.78075,6.5,-7.212,0.5,0.10062499999999999,0.08142975,0.000620785,0.138625,0.46950000000000003,109.7295,4.0,210064.0
sma$her,"['brazilian phonk', 'funk', 'phonk']",4,69.0,0.65325,0.8302499999999999,2.25,-2.00575,0.5,0.0331,0.114025,0.17850347749999998,0.220725,0.58925,112.92825,4.0,73337.5
Vismay Patel,"['hindi indie', 'indian indie']",4,21.75,0.69575,0.25975000000000004,4.5,-15.11725,1.0,0.032875,0.747,0.014265700000000001,0.12275,0.37175,106.20775,3.75,184632.25
M4GN,"['brazilian phonk', 'phonk']",4,67.25,0.723,0.779,6.75,-6.57025,0.5,0.044774999999999995,0.29245,0.0031392250000000003,0.151175,0.6,115.18075,4.0,129092.5
Irshad Kamil,"['bangla pop', 'bhajan', 'bhangra', 'bollywood', 'desi', 'desi pop', 'devotional', 'hindi pop', 'kollywood', 'punjabi pop', 'sufi', 'tamil pop']",4,69.75,0.606,0.668,7.75,-7.56675,0.5,0.054925,0.17127499999999998,0.00011682500000000001,0.16162500000000002,0.5277499999999999,135.7745,3.5,290845.25
Irokz,"['brazilian phonk', 'funk', 'phonk']",4,65.75,0.6055,0.7635000000000001,6.75,-2.47725,0.0,0.035949999999999996,0.17830000000000001,0.63704,0.1535,0.219925,131.67825,4.0,152284.75
Yorushika,"['anime', 'j-pop', 'j-rock', 'japanese indie']",4,68.0,0.69725,0.518,3.75,-6.97575,1.0,0.038175,0.42237499999999994,0.00151,0.19195,0.71275,104.75150000000001,4.0,243697.5
Scythermane,"['brazilian funk', 'brazilian phonk', 'brega funk', 'drift phonk', 'funk', 'funk de bh', 'phonk']",4,56.75,0.7657499999999999,0.94025,8.0,-0.8510000000000001,0.0,0.054625,0.29500000000000004,0.24933999999999998,0.16855,0.414025,118.2525,4.0,99266.25
Bikesh Bazra,[],3,18.0,0.3746666666666667,0.217,7.0,-13.046666666666667,1.0,0.031566666666666666,0.7886666666666667,0.5006666666666667,0.13903333333333331,0.25266666666666665,115.54366666666665,3.0,131424.0
Chaar Diwaari,"['bollywood', 'desi', 'desi hip hop', 'desi pop', 'hindi hip hop', 'hindi indie', 'hindi pop', 'indian indie', 'kannada pop', 'marathi pop', 'sandalwood', 'sufi']",3,63.0,0.6163333333333334,0.6043333333333333,2.6666666666666665,-6.384333333333333,1.0,0.10773333333333333,0.248,1.0753333333333333e-05,0.511,0.7176666666666667,131.262,3.6666666666666665,325341.0
Sachin-Jigar,"['bollywood', 'desi', 'desi pop', 'gujarati garba', 'gujarati pop', 'hindi pop', 'kannada pop', 'lo-fi', 'marathi pop', 'sufi']",3,62.666666666666664,0.5479999999999999,0.5593333333333333,5.333333333333333,-8.527333333333333,1.0,0.044533333333333334,0.611,0.0018345666666666665,0.11173333333333334,0.39433333333333337,128.76366666666667,4.0,173999.66666666666
Salim–Sulaiman,"['bollywood', 'desi', 'gujarati garba', 'hindi pop', 'kannada pop', 'kollywood', 'marathi pop', 'qawwali', 'sandalwood', 'sufi', 'tamil pop', 'telugu pop', 'tollywood']",3,1.0,0.42966666666666664,0.7456666666666667,5.666666666666667,-5.085,0.6666666666666666,0.12786666666666666,0.07093333333333333,0.00013033333333333332,0.19266666666666665,0.405,143.07333333333335,4.0,258895.66666666666
Paizo,"['brazilian phonk', 'funk', 'phonk']",3,67.0,0.6516666666666667,0.8610000000000001,6.333333333333333,-0.4723333333333333,1.0,0.054933333333333334,0.15066666666666667,0.003283333333333334,0.20319999999999996,0.3076666666666667,134.3033333333333,4.0,87480.0
Kriti Nepali,[],3,18.0,0.3746666666666667,0.217,7.0,-13.046666666666667,1.0,0.031566666666666666,0.7886666666666667,0.5006666666666667,0.13903333333333331,0.25266666666666665,115.54366666666665,3.0,131424.0
Kushagra,"['desi pop', 'hindi indie', 'hindi pop', 'indian indie']",3,71.66666666666667,0.48600000000000004,0.312,1.3333333333333333,-11.33,0.6666666666666666,0.10663333333333332,0.8953333333333333,1.6400000000000002e-06,0.1203,0.395,160.039,3.3333333333333335,227245.0
LUMIX,"['brazilian phonk', 'funk', 'phonk']",3,58.0,0.6973333333333334,0.8029999999999999,3.3333333333333335,-5.728999999999999,0.6666666666666666,0.08700000000000001,0.10866666666666668,0.001165,0.13433333333333333,0.442,114.35433333333333,4.0,112950.0
Eternxlkz,"['brazilian phonk', 'phonk']",3,70.66666666666667,0.6216666666666667,0.7680000000000001,7.666666666666667,-5.523,0.6666666666666666,0.04053333333333333,0.15743333333333334,0.7813333333333333,0.1986,0.4106666666666667,116.97333333333334,4.0,137854.66666666666
Mame Khan,"['bollywood', 'desi', 'gujarati garba', 'hindi pop', 'indian indie', 'sufi']",3,22.333333333333332,0.6773333333333333,0.5223333333333333,6.333333333333333,-8.693,0.6666666666666666,0.09313333333333333,0.39366666666666666,0.00047766666666666666,0.15696666666666667,0.521,92.01866666666668,4.0,269489.0
Manna Dey,"['bangla pop', 'bhajan', 'bollywood', 'ghazal', 'hindi pop', 'marathi pop', 'qawwali']",3,51.0,0.373,0.5076666666666667,3.0,-9.762,0.3333333333333333,0.05106666666666667,0.9313333333333333,0.06453504,0.1821,0.6116666666666667,86.47433333333333,3.3333333333333335,236763.0
Martin Garrix,"['big room', 'edm', 'electronica', 'progressive house', 'slap house']",3,62.666666666666664,0.4626666666666666,0.8066666666666666,3.0,-5.798666666666667,1.0,0.07473333333333333,0.25211666666666666,0.25170417666666667,0.11386666666666666,0.24166666666666667,128.99166666666667,4.0,201449.66666666666
Garvit - Priyansh,"['hindi indie', 'indian indie']",3,55.0,0.46900000000000003,0.35366666666666663,2.3333333333333335,-10.378333333333334,1.0,0.0341,0.6169333333333333,0.0,0.15236666666666665,0.32966666666666666,140.612,3.3333333333333335,222282.33333333334
Garvit Soni,"['hindi indie', 'indian indie']",3,55.0,0.46900000000000003,0.35366666666666663,2.3333333333333335,-10.378333333333334,1.0,0.0341,0.6169333333333333,0.0,0.15236666666666665,0.32966666666666666,140.612,3.3333333333333335,222282.33333333334
Fujii Kaze,['j-pop'],3,69.0,0.564,0.6846666666666666,5.0,-6.593,0.3333333333333333,0.04173333333333334,0.30233333333333334,0.0034353,0.19999999999999998,0.49300000000000005,124.96133333333334,3.6666666666666665,198092.66666666666
GXMZ,"['brazilian phonk', 'funk', 'phonk']",3,68.0,0.826,0.448,6.666666666666667,-5.5263333333333335,0.3333333333333333,0.09606666666666668,0.527,0.2646833,0.0857,0.52,144.12433333333334,4.0,86193.66666666667
Asha Bhosle,"['bangla pop', 'bollywood', 'ghazal', 'hindi pop', 'marathi pop']",3,59.0,0.484,0.37966666666666665,3.6666666666666665,-11.891666666666666,1.0,0.0477,0.7966666666666667,0.10100833333333332,0.17886666666666665,0.4976666666666667,125.74033333333334,3.3333333333333335,254439.66666666666
Kobid Bazra,[],3,18.0,0.3746666666666667,0.217,7.0,-13.046666666666667,1.0,0.031566666666666666,0.7886666666666667,0.5006666666666667,0.13903333333333331,0.25266666666666665,115.54366666666665,3.0,131424.0
Kordhell,"['drift phonk', 'phonk']",3,67.66666666666667,0.781,0.975,9.0,-1.1626666666666667,1.0,0.0942,0.023687666666666666,0.28935686666666666,0.0843,0.5376666666666666,110.99466666666666,4.0,126732.33333333333
Ali Sethi,"['desi', 'desi pop', 'ghazal', 'hindi indie', 'hindi pop', 'indian indie', 'qawwali', 'sufi']",3,54.333333333333336,0.673,0.48133333333333334,11.0,-8.425333333333333,0.6666666666666666,0.0336,0.34223333333333333,1.4e-05,0.1135,0.4206666666666667,117.35233333333333,3.3333333333333335,299292.6666666667
Aditya A,"['hindi indie', 'hindi pop', 'indian indie']",3,63.333333333333336,0.6103333333333333,0.4236666666666667,3.6666666666666665,-9.339,1.0,0.054266666666666664,0.8490000000000001,0.002813333333333333,0.21933333333333335,0.7176666666666667,113.07800000000002,4.0,135699.0
ZMAJOR,"['brazilian phonk', 'funk', 'phonk']",3,48.333333333333336,0.8403333333333333,0.7786666666666666,6.333333333333333,-0.9446666666666667,0.6666666666666666,0.11433333333333333,0.328,0.29200719999999997,0.20796666666666666,0.8633333333333333,98.858,4.0,101710.66666666667
Iqlipse Nova,"['hindi indie', 'hindi pop', 'indian indie']",3,62.333333333333336,0.749,0.423,5.666666666666667,-9.840333333333334,1.0,0.052366666666666666,0.5696666666666667,0.0,0.19026666666666667,0.6346666666666666,104.25099999999999,4.0,164310.33333333334
Aabhas - Shreyas,"['bhajan', 'hindi indie', 'indian indie', 'sufi', 'tollywood']",3,15.0,0.5216666666666666,0.37366666666666665,4.666666666666667,-9.222666666666667,1.0,0.0488,0.7976666666666666,0.0003422333333333334,0.11433333333333333,0.745,118.03833333333334,3.6666666666666665,290466.6666666667
Mc Kaique SP,"['brazilian phonk', 'funk', 'phonk']",3,71.0,0.8476666666666667,0.9083333333333333,2.6666666666666665,-0.832,0.3333333333333333,0.05380000000000001,0.10283333333333333,0.24549333333333334,0.21466666666666667,0.685,125.23899999999999,4.0,125814.33333333333
-Prey,"['brazilian funk', 'brazilian phonk', 'brega funk', 'funk', 'funk bruxaria', 'funk carioca', 'phonk']",3,45.666666666666664,0.7479999999999999,0.8733333333333334,5.666666666666667,-1.9400000000000002,0.0,0.11143333333333334,0.12773333333333334,1.3499999999999998e-05,0.2733333333333333,0.6673333333333334,130.54366666666667,4.0,116733.0
n7san7os,"['brazilian phonk', 'funk', 'phonk']",3,78.33333333333333,0.7983333333333333,0.8463333333333334,3.0,-2.360333333333333,0.3333333333333333,0.10616666666666667,0.22233333333333336,2.7396666666666665e-05,0.12466666666666666,0.8556666666666667,113.39866666666667,4.0,111427.0
Mc Staff,"['brazilian phonk', 'funk', 'phonk']",3,71.66666666666667,0.7896666666666666,0.7879999999999999,3.6666666666666665,-2.179666666666667,0.0,0.032466666666666665,0.29333333333333333,0.08949333333333333,0.0562,0.7486666666666667,120.06766666666665,4.0,87548.0
Shreya Ghoshal,"['bollywood', 'desi', 'gujarati garba', 'gujarati pop', 'hindi pop', 'kannada pop', 'lo-fi', 'marathi pop', 'qawwali', 'sufi']",3,46.666666666666664,0.4286666666666667,0.478,5.666666666666667,-8.349333333333332,1.0,0.054233333333333335,0.595,0.0018311666666666665,0.15433333333333332,0.37833333333333335,136.43633333333335,4.0,199183.0
Sooraj Santhosh,"['malayalam hip hop', 'malayalam pop', 'mollywood', 'tollywood']",3,60.333333333333336,0.4626666666666666,0.2776666666666667,5.666666666666667,-10.247,1.0,0.027433333333333334,0.8889999999999999,0.0324,0.0944,0.17466666666666666,104.95766666666667,4.0,253761.33333333334
Shilpa Rao,"['bollywood', 'desi', 'ghazal', 'hindi indie', 'hindi pop', 'indian indie', 'qawwali', 'sufi']",3,65.0,0.5156666666666667,0.568,2.6666666666666665,-6.481000000000001,1.0,0.0363,0.412,0.0001904,0.14033333333333334,0.4483333333333333,111.49566666666668,4.0,406044.3333333333
Shantanu Moitra,"['bangla pop', 'bhajan', 'bollywood', 'ghazal', 'hindi indie', 'indian indie', 'kollywood', 'maloya', 'tamil pop']",3,17.333333333333332,0.47733333333333333,0.5626666666666666,5.0,-8.989333333333333,1.0,0.07916666666666668,0.5723333333333334,5.944666666666667e-05,0.11733333333333333,0.5419999999999999,139.0053333333333,3.3333333333333335,287083.6666666667
ßino,"['brazilian phonk', 'funk', 'phonk']",3,49.666666666666664,0.6233333333333334,0.8296666666666667,3.3333333333333335,-0.9873333333333334,0.3333333333333333,0.17166666666666666,0.43133333333333335,0.2073333333333333,0.171,0.36999999999999994,123.65933333333334,3.6666666666666665,103730.33333333333
Akshath,"['hindi indie', 'hindi pop', 'indian indie']",3,54.333333333333336,0.6133333333333333,0.4056666666666667,5.0,-8.442,0.3333333333333333,0.030866666666666667,0.7696666666666667,0.010246033333333333,0.17303333333333334,0.4756666666666667,96.39766666666667,4.0,184752.0
DJ LXILL,"['brazilian phonk', 'funk', 'phonk']",3,67.0,0.6516666666666667,0.8610000000000001,6.333333333333333,-0.4723333333333333,1.0,0.054933333333333334,0.15066666666666667,0.003283333333333334,0.20319999999999996,0.3076666666666667,134.3033333333333,4.0,87480.0
Rajat Nagpal,"['bollywood', 'desi hip hop', 'desi pop', 'hindi indie', 'hindi pop', 'indian indie', 'punjabi pop']",3,63.0,0.5853333333333333,0.5543333333333333,6.666666666666667,-6.888333333333333,0.6666666666666666,0.03663333333333333,0.616,0.0,0.13003333333333333,0.474,139.21233333333336,3.6666666666666665,224380.66666666666
Reble,"['bhangra', 'bollywood', 'desi', 'desi pop', 'ghazal', 'haryanvi pop', 'hindi pop', 'punjabi pop', 'qawwali', 'sufi']",3,65.33333333333333,0.7886666666666667,0.855,5.333333333333333,-5.608666666666667,0.3333333333333333,0.09149999999999998,0.013239666666666665,0.0008246,0.15083333333333335,0.5476666666666666,119.64133333333332,4.0,220084.0
